number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9975031210986267,2025-08-07 12:55:58.798171,2025-08-07 12:55:59.100728,0 days 00:00:00.302557,5,100,COMPLETE
1,0.9975031210986267,2025-08-07 12:55:59.100728,2025-08-07 12:55:59.259713,0 days 00:00:00.158985,3,50,COMPLETE
2,0.9975031210986267,2025-08-07 12:55:59.259713,2025-08-07 12:55:59.434543,0 days 00:00:00.174830,3,50,COMPLETE
3,0.9975031210986267,2025-08-07 12:55:59.434543,2025-08-07 12:55:59.735671,0 days 00:00:00.301128,3,100,COMPLETE
4,0.9975031210986267,2025-08-07 12:55:59.735671,2025-08-07 12:55:59.908769,0 days 00:00:00.173098,5,50,COMPLETE
5,0.9975031210986267,2025-08-07 12:55:59.908769,2025-08-07 12:56:00.072479,0 days 00:00:00.163710,3,50,COMPLETE
6,0.9975031210986267,2025-08-07 12:56:00.072479,2025-08-07 12:56:00.353550,0 days 00:00:00.281071,5,100,COMPLETE
7,0.9975031210986267,2025-08-07 12:56:00.353550,2025-08-07 12:56:00.530438,0 days 00:00:00.176888,5,50,COMPLETE
8,0.9975031210986267,2025-08-07 12:56:00.530438,2025-08-07 12:56:00.687788,0 days 00:00:00.157350,3,50,COMPLETE
9,0.9975031210986267,2025-08-07 12:56:00.687788,2025-08-07 12:56:00.840806,0 days 00:00:00.153018,3,50,COMPLETE
10,0.9975031210986267,2025-08-07 12:56:00.840806,2025-08-07 12:56:01.146043,0 days 00:00:00.305237,5,100,COMPLETE
11,0.9975031210986267,2025-08-07 12:56:01.146043,2025-08-07 12:56:01.445391,0 days 00:00:00.299348,5,100,COMPLETE
12,0.9975031210986267,2025-08-07 12:56:01.445391,2025-08-07 12:56:01.856737,0 days 00:00:00.411346,5,100,COMPLETE
13,0.9975031210986267,2025-08-07 12:56:01.858743,2025-08-07 12:56:02.299012,0 days 00:00:00.440269,3,100,COMPLETE
14,0.9975031210986267,2025-08-07 12:56:02.299012,2025-08-07 12:56:02.441136,0 days 00:00:00.142124,3,50,COMPLETE
15,0.9975031210986267,2025-08-07 12:56:02.456859,2025-08-07 12:56:02.759350,0 days 00:00:00.302491,5,100,COMPLETE
16,0.9975031210986267,2025-08-07 12:56:02.759350,2025-08-07 12:56:03.059587,0 days 00:00:00.300237,5,100,COMPLETE
17,0.9975031210986267,2025-08-07 12:56:03.059587,2025-08-07 12:56:03.218396,0 days 00:00:00.158809,3,50,COMPLETE
18,0.9975031210986267,2025-08-07 12:56:03.218396,2025-08-07 12:56:03.384618,0 days 00:00:00.166222,5,50,COMPLETE
19,0.9975031210986267,2025-08-07 12:56:03.384618,2025-08-07 12:56:03.677432,0 days 00:00:00.292814,3,100,COMPLETE
