number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-08-07 12:55:04.426871,2025-08-07 12:55:04.520405,0 days 00:00:00.093534,1.0,COMPLETE
1,0.9987515605493135,2025-08-07 12:55:04.520405,2025-08-07 12:55:04.536312,0 days 00:00:00.015907,10.0,COMPLETE
2,0.9987515605493135,2025-08-07 12:55:04.542421,2025-08-07 12:55:04.554342,0 days 00:00:00.011921,10.0,COMPLETE
3,0.9987515605493135,2025-08-07 12:55:04.554342,2025-08-07 12:55:04.567631,0 days 00:00:00.013289,1.0,COMPLETE
4,0.9987515605493135,2025-08-07 12:55:04.567631,2025-08-07 12:55:04.593177,0 days 00:00:00.025546,0.1,COMPLETE
5,0.9987515605493135,2025-08-07 12:55:04.593177,2025-08-07 12:55:04.617854,0 days 00:00:00.024677,1.0,COMPLETE
6,0.9987515605493135,2025-08-07 12:55:04.617854,2025-08-07 12:55:04.647070,0 days 00:00:00.029216,0.1,COMPLETE
7,0.9987515605493135,2025-08-07 12:55:04.647070,2025-08-07 12:55:04.679387,0 days 00:00:00.032317,0.1,COMPLETE
8,0.9987515605493135,2025-08-07 12:55:04.679387,2025-08-07 12:55:04.710659,0 days 00:00:00.031272,10.0,COMPLETE
9,0.9987515605493135,2025-08-07 12:55:04.710659,2025-08-07 12:55:04.744309,0 days 00:00:00.033650,1.0,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:04.744309,2025-08-07 12:55:04.784793,0 days 00:00:00.040484,1.0,COMPLETE
11,0.9987515605493135,2025-08-07 12:55:04.784793,2025-08-07 12:55:04.805475,0 days 00:00:00.020682,10.0,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:04.805475,2025-08-07 12:55:04.837226,0 days 00:00:00.031751,10.0,COMPLETE
13,0.9987515605493135,2025-08-07 12:55:04.837226,2025-08-07 12:55:04.869124,0 days 00:00:00.031898,1.0,COMPLETE
14,0.9987515605493135,2025-08-07 12:55:04.869124,2025-08-07 12:55:04.900779,0 days 00:00:00.031655,10.0,COMPLETE
15,0.9987515605493135,2025-08-07 12:55:04.900779,2025-08-07 12:55:04.932409,0 days 00:00:00.031630,1.0,COMPLETE
16,0.9987515605493135,2025-08-07 12:55:04.932409,2025-08-07 12:55:04.948073,0 days 00:00:00.015664,10.0,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:04.948073,2025-08-07 12:55:04.979931,0 days 00:00:00.031858,1.0,COMPLETE
18,0.9987515605493135,2025-08-07 12:55:04.979931,2025-08-07 12:55:05.016593,0 days 00:00:00.036662,10.0,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:05.016593,2025-08-07 12:55:05.045403,0 days 00:00:00.028810,0.1,COMPLETE
