number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-13 16:05:13.112109,2025-08-13 16:05:13.142175,0 days 00:00:00.030066,1.0,rbf,COMPLETE
1,0.9975031210986267,2025-08-13 16:05:13.142175,2025-08-13 16:05:13.173522,0 days 00:00:00.031347,0.1,rbf,COMPLETE
2,0.9975031210986267,2025-08-13 16:05:13.173522,2025-08-13 16:05:13.195006,0 days 00:00:00.021484,0.1,rbf,COMPLETE
3,0.9987515605493135,2025-08-13 16:05:13.195006,2025-08-13 16:05:13.217169,0 days 00:00:00.022163,1.0,linear,COMPLETE
4,0.9987515605493135,2025-08-13 16:05:13.219175,2025-08-13 16:05:13.245885,0 days 00:00:00.026710,0.1,linear,COMPLETE
5,0.9987515605493135,2025-08-13 16:05:13.245885,2025-08-13 16:05:13.253608,0 days 00:00:00.007723,0.1,linear,COMPLETE
6,0.9975031210986267,2025-08-13 16:05:13.253608,2025-08-13 16:05:13.291956,0 days 00:00:00.038348,0.1,rbf,COMPLETE
7,0.9975031210986267,2025-08-13 16:05:13.291956,2025-08-13 16:05:13.326580,0 days 00:00:00.034624,1.0,rbf,COMPLETE
8,0.9987515605493135,2025-08-13 16:05:13.326580,2025-08-13 16:05:13.341870,0 days 00:00:00.015290,1.0,linear,COMPLETE
9,0.9987515605493135,2025-08-13 16:05:13.341870,2025-08-13 16:05:13.363569,0 days 00:00:00.021699,0.1,linear,COMPLETE
10,0.9987515605493135,2025-08-13 16:05:13.363569,2025-08-13 16:05:13.381947,0 days 00:00:00.018378,1.0,linear,COMPLETE
11,0.9987515605493135,2025-08-13 16:05:13.381947,2025-08-13 16:05:13.399877,0 days 00:00:00.017930,1.0,linear,COMPLETE
12,0.9987515605493135,2025-08-13 16:05:13.401888,2025-08-13 16:05:13.421975,0 days 00:00:00.020087,0.1,linear,COMPLETE
13,0.9987515605493135,2025-08-13 16:05:13.421975,2025-08-13 16:05:13.443709,0 days 00:00:00.021734,1.0,linear,COMPLETE
14,0.9987515605493135,2025-08-13 16:05:13.443709,2025-08-13 16:05:13.453832,0 days 00:00:00.010123,0.1,linear,COMPLETE
15,0.9987515605493135,2025-08-13 16:05:13.453832,2025-08-13 16:05:13.486451,0 days 00:00:00.032619,1.0,linear,COMPLETE
16,0.9987515605493135,2025-08-13 16:05:13.486451,2025-08-13 16:05:13.499287,0 days 00:00:00.012836,0.1,linear,COMPLETE
17,0.9987515605493135,2025-08-13 16:05:13.499287,2025-08-13 16:05:13.524013,0 days 00:00:00.024726,1.0,linear,COMPLETE
18,0.9987515605493135,2025-08-13 16:05:13.524013,2025-08-13 16:05:13.541849,0 days 00:00:00.017836,1.0,linear,COMPLETE
19,0.9987515605493135,2025-08-13 16:05:13.541849,2025-08-13 16:05:13.571933,0 days 00:00:00.030084,0.1,linear,COMPLETE
