number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-07 12:55:28.545731,2025-08-07 12:55:28.561704,0 days 00:00:00.015973,1.0,rbf,COMPLETE
1,0.9975031210986267,2025-08-07 12:55:28.561704,2025-08-07 12:55:28.594812,0 days 00:00:00.033108,1.0,rbf,COMPLETE
2,0.9987515605493135,2025-08-07 12:55:28.594812,2025-08-07 12:55:28.609400,0 days 00:00:00.014588,0.1,linear,COMPLETE
3,0.9975031210986267,2025-08-07 12:55:28.609400,2025-08-07 12:55:28.628149,0 days 00:00:00.018749,0.1,rbf,COMPLETE
4,0.9987515605493135,2025-08-07 12:55:28.628149,2025-08-07 12:55:28.641164,0 days 00:00:00.013015,0.1,linear,COMPLETE
5,0.9975031210986267,2025-08-07 12:55:28.641164,2025-08-07 12:55:28.660648,0 days 00:00:00.019484,1.0,rbf,COMPLETE
6,0.9975031210986267,2025-08-07 12:55:28.660648,2025-08-07 12:55:28.688710,0 days 00:00:00.028062,1.0,rbf,COMPLETE
7,0.9975031210986267,2025-08-07 12:55:28.688710,2025-08-07 12:55:28.712537,0 days 00:00:00.023827,1.0,rbf,COMPLETE
8,0.9987515605493135,2025-08-07 12:55:28.712537,2025-08-07 12:55:28.724179,0 days 00:00:00.011642,1.0,linear,COMPLETE
9,0.9987515605493135,2025-08-07 12:55:28.724179,2025-08-07 12:55:28.735976,0 days 00:00:00.011797,0.1,linear,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:28.735976,2025-08-07 12:55:28.751930,0 days 00:00:00.015954,0.1,linear,COMPLETE
11,0.9987515605493135,2025-08-07 12:55:28.751930,2025-08-07 12:55:28.751930,0 days 00:00:00,0.1,linear,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:28.751930,2025-08-07 12:55:28.783835,0 days 00:00:00.031905,0.1,linear,COMPLETE
13,0.9987515605493135,2025-08-07 12:55:28.783835,2025-08-07 12:55:28.797153,0 days 00:00:00.013318,0.1,linear,COMPLETE
14,0.9987515605493135,2025-08-07 12:55:28.797153,2025-08-07 12:55:28.801563,0 days 00:00:00.004410,0.1,linear,COMPLETE
15,0.9987515605493135,2025-08-07 12:55:28.801563,2025-08-07 12:55:28.816978,0 days 00:00:00.015415,0.1,linear,COMPLETE
16,0.9987515605493135,2025-08-07 12:55:28.816978,2025-08-07 12:55:28.831198,0 days 00:00:00.014220,0.1,linear,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:28.831198,2025-08-07 12:55:28.854693,0 days 00:00:00.023495,0.1,linear,COMPLETE
18,0.9987515605493135,2025-08-07 12:55:28.854693,2025-08-07 12:55:28.868581,0 days 00:00:00.013888,0.1,linear,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:28.868581,2025-08-07 12:55:28.881781,0 days 00:00:00.013200,0.1,linear,COMPLETE
