number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-08-13 16:05:46.791939,2025-08-13 16:05:46.819725,0 days 00:00:00.027786,0.1,COMPLETE
1,0.9987515605493135,2025-08-13 16:05:46.819725,2025-08-13 16:05:46.841721,0 days 00:00:00.021996,10.0,COMPLETE
2,0.9987515605493135,2025-08-13 16:05:46.841721,2025-08-13 16:05:46.871997,0 days 00:00:00.030276,10.0,COMPLETE
3,0.9987515605493135,2025-08-13 16:05:46.871997,2025-08-13 16:05:46.891941,0 days 00:00:00.019944,10.0,COMPLETE
4,0.9975031210986267,2025-08-13 16:05:46.891941,2025-08-13 16:05:46.921631,0 days 00:00:00.029690,1.0,COMPLETE
5,0.9975031210986267,2025-08-13 16:05:46.921631,2025-08-13 16:05:46.949678,0 days 00:00:00.028047,1.0,COMPLETE
6,0.9975031210986267,2025-08-13 16:05:46.949678,2025-08-13 16:05:46.973552,0 days 00:00:00.023874,1.0,COMPLETE
7,0.9975031210986267,2025-08-13 16:05:46.973552,2025-08-13 16:05:46.996013,0 days 00:00:00.022461,1.0,COMPLETE
8,0.9975031210986267,2025-08-13 16:05:47.001856,2025-08-13 16:05:47.032072,0 days 00:00:00.030216,1.0,COMPLETE
9,0.9975031210986267,2025-08-13 16:05:47.032072,2025-08-13 16:05:47.056681,0 days 00:00:00.024609,1.0,COMPLETE
10,0.9987515605493135,2025-08-13 16:05:47.056681,2025-08-13 16:05:47.092045,0 days 00:00:00.035364,10.0,COMPLETE
11,0.9987515605493135,2025-08-13 16:05:47.092045,2025-08-13 16:05:47.121634,0 days 00:00:00.029589,10.0,COMPLETE
12,0.9987515605493135,2025-08-13 16:05:47.121634,2025-08-13 16:05:47.149602,0 days 00:00:00.027968,10.0,COMPLETE
13,0.9987515605493135,2025-08-13 16:05:47.149602,2025-08-13 16:05:47.181643,0 days 00:00:00.032041,10.0,COMPLETE
14,0.9975031210986267,2025-08-13 16:05:47.181643,2025-08-13 16:05:47.203775,0 days 00:00:00.022132,0.1,COMPLETE
15,0.9987515605493135,2025-08-13 16:05:47.203775,2025-08-13 16:05:47.236669,0 days 00:00:00.032894,10.0,COMPLETE
16,0.9987515605493135,2025-08-13 16:05:47.236669,2025-08-13 16:05:47.260828,0 days 00:00:00.024159,10.0,COMPLETE
17,0.9987515605493135,2025-08-13 16:05:47.260828,2025-08-13 16:05:47.281966,0 days 00:00:00.021138,10.0,COMPLETE
18,0.9975031210986267,2025-08-13 16:05:47.281966,2025-08-13 16:05:47.314601,0 days 00:00:00.032635,0.1,COMPLETE
19,0.9987515605493135,2025-08-13 16:05:47.314601,2025-08-13 16:05:47.341802,0 days 00:00:00.027201,10.0,COMPLETE
