number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-08-13 16:03:40.297899,2025-08-13 16:03:40.385032,0 days 00:00:00.087133,1.0,COMPLETE
1,0.9987515605493135,2025-08-13 16:03:40.385032,2025-08-13 16:03:40.407107,0 days 00:00:00.022075,0.1,COMPLETE
2,0.9987515605493135,2025-08-13 16:03:40.407107,2025-08-13 16:03:40.457266,0 days 00:00:00.050159,0.1,COMPLETE
3,0.9987515605493135,2025-08-13 16:03:40.457266,2025-08-13 16:03:40.486471,0 days 00:00:00.029205,1.0,COMPLETE
4,0.9987515605493135,2025-08-13 16:03:40.486471,2025-08-13 16:03:40.522575,0 days 00:00:00.036104,0.1,COMPLETE
5,0.9987515605493135,2025-08-13 16:03:40.522575,2025-08-13 16:03:40.555420,0 days 00:00:00.032845,1.0,COMPLETE
6,0.9987515605493135,2025-08-13 16:03:40.555420,2025-08-13 16:03:40.592194,0 days 00:00:00.036774,10.0,COMPLETE
7,0.9987515605493135,2025-08-13 16:03:40.592194,2025-08-13 16:03:40.625232,0 days 00:00:00.033038,0.1,COMPLETE
8,0.9987515605493135,2025-08-13 16:03:40.625232,2025-08-13 16:03:40.655634,0 days 00:00:00.030402,10.0,COMPLETE
9,0.9987515605493135,2025-08-13 16:03:40.655634,2025-08-13 16:03:40.692114,0 days 00:00:00.036480,0.1,COMPLETE
10,0.9987515605493135,2025-08-13 16:03:40.697857,2025-08-13 16:03:40.736120,0 days 00:00:00.038263,1.0,COMPLETE
11,0.9987515605493135,2025-08-13 16:03:40.736120,2025-08-13 16:03:40.782535,0 days 00:00:00.046415,1.0,COMPLETE
12,0.9987515605493135,2025-08-13 16:03:40.789617,2025-08-13 16:03:40.843896,0 days 00:00:00.054279,0.1,COMPLETE
13,0.9987515605493135,2025-08-13 16:03:40.845905,2025-08-13 16:03:40.904211,0 days 00:00:00.058306,1.0,COMPLETE
14,0.9987515605493135,2025-08-13 16:03:40.904211,2025-08-13 16:03:40.947145,0 days 00:00:00.042934,10.0,COMPLETE
15,0.9987515605493135,2025-08-13 16:03:40.950358,2025-08-13 16:03:40.987367,0 days 00:00:00.037009,0.1,COMPLETE
16,0.9987515605493135,2025-08-13 16:03:40.987367,2025-08-13 16:03:41.032217,0 days 00:00:00.044850,1.0,COMPLETE
17,0.9987515605493135,2025-08-13 16:03:41.034263,2025-08-13 16:03:41.074200,0 days 00:00:00.039937,0.1,COMPLETE
18,0.9987515605493135,2025-08-13 16:03:41.074200,2025-08-13 16:03:41.112322,0 days 00:00:00.038122,1.0,COMPLETE
19,0.9987515605493135,2025-08-13 16:03:41.112322,2025-08-13 16:03:41.153780,0 days 00:00:00.041458,10.0,COMPLETE
