number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9975031210986267,2025-08-13 16:05:26.959400,2025-08-13 16:05:27.259654,0 days 00:00:00.300254,3,50,COMPLETE
1,0.9975031210986267,2025-08-13 16:05:27.259654,2025-08-13 16:05:27.511807,0 days 00:00:00.252153,3,50,COMPLETE
2,0.9975031210986267,2025-08-13 16:05:27.513865,2025-08-13 16:05:27.767261,0 days 00:00:00.253396,5,50,COMPLETE
3,0.9975031210986267,2025-08-13 16:05:27.767261,2025-08-13 16:05:28.017898,0 days 00:00:00.250637,5,50,COMPLETE
4,0.9975031210986267,2025-08-13 16:05:28.017898,2025-08-13 16:05:28.495705,0 days 00:00:00.477807,3,100,COMPLETE
5,0.9975031210986267,2025-08-13 16:05:28.495705,2025-08-13 16:05:28.727986,0 days 00:00:00.232281,5,50,COMPLETE
6,0.9975031210986267,2025-08-13 16:05:28.727986,2025-08-13 16:05:29.182050,0 days 00:00:00.454064,5,100,COMPLETE
7,0.9975031210986267,2025-08-13 16:05:29.182050,2025-08-13 16:05:29.422096,0 days 00:00:00.240046,3,50,COMPLETE
8,0.9975031210986267,2025-08-13 16:05:29.422096,2025-08-13 16:05:29.663624,0 days 00:00:00.241528,3,50,COMPLETE
9,0.9975031210986267,2025-08-13 16:05:29.663624,2025-08-13 16:05:30.134938,0 days 00:00:00.471314,3,100,COMPLETE
10,0.9975031210986267,2025-08-13 16:05:30.134938,2025-08-13 16:05:30.576278,0 days 00:00:00.441340,3,100,COMPLETE
11,0.9975031210986267,2025-08-13 16:05:30.576278,2025-08-13 16:05:30.834225,0 days 00:00:00.257947,3,50,COMPLETE
12,0.9975031210986267,2025-08-13 16:05:30.834225,2025-08-13 16:05:31.096761,0 days 00:00:00.262536,3,50,COMPLETE
13,0.9975031210986267,2025-08-13 16:05:31.096761,2025-08-13 16:05:31.331692,0 days 00:00:00.234931,3,50,COMPLETE
14,0.9975031210986267,2025-08-13 16:05:31.337320,2025-08-13 16:05:31.575568,0 days 00:00:00.238248,3,50,COMPLETE
15,0.9975031210986267,2025-08-13 16:05:31.575568,2025-08-13 16:05:31.826723,0 days 00:00:00.251155,3,50,COMPLETE
16,0.9975031210986267,2025-08-13 16:05:31.826723,2025-08-13 16:05:32.147780,0 days 00:00:00.321057,3,50,COMPLETE
17,0.9975031210986267,2025-08-13 16:05:32.153938,2025-08-13 16:05:32.422090,0 days 00:00:00.268152,3,50,COMPLETE
18,0.9975031210986267,2025-08-13 16:05:32.422090,2025-08-13 16:05:32.936807,0 days 00:00:00.514717,5,100,COMPLETE
19,0.9975031210986267,2025-08-13 16:05:32.939730,2025-08-13 16:05:33.184094,0 days 00:00:00.244364,3,50,COMPLETE
