number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9987515605493135,2025-08-07 12:55:38.974661,2025-08-07 12:55:39.268400,0 days 00:00:00.293739,3,100,COMPLETE
1,0.9987515605493135,2025-08-07 12:55:39.284362,2025-08-07 12:55:39.444036,0 days 00:00:00.159674,5,50,COMPLETE
2,0.9975031210986267,2025-08-07 12:55:39.444036,2025-08-07 12:55:39.762961,0 days 00:00:00.318925,3,100,COMPLETE
3,0.9987515605493135,2025-08-07 12:55:39.762961,2025-08-07 12:55:40.078517,0 days 00:00:00.315556,3,100,COMPLETE
4,0.9987515605493135,2025-08-07 12:55:40.078517,2025-08-07 12:55:40.381738,0 days 00:00:00.303221,3,100,COMPLETE
5,0.9987515605493135,2025-08-07 12:55:40.381738,2025-08-07 12:55:40.541204,0 days 00:00:00.159466,5,50,COMPLETE
6,0.9987515605493135,2025-08-07 12:55:40.541204,2025-08-07 12:55:40.842412,0 days 00:00:00.301208,5,100,COMPLETE
7,0.9987515605493135,2025-08-07 12:55:40.842412,2025-08-07 12:55:41.160978,0 days 00:00:00.318566,3,100,COMPLETE
8,0.9975031210986267,2025-08-07 12:55:41.160978,2025-08-07 12:55:41.447421,0 days 00:00:00.286443,3,100,COMPLETE
9,0.9987515605493135,2025-08-07 12:55:41.447421,2025-08-07 12:55:41.749544,0 days 00:00:00.302123,5,100,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:41.749544,2025-08-07 12:55:41.925261,0 days 00:00:00.175717,3,50,COMPLETE
11,0.9975031210986267,2025-08-07 12:55:41.925261,2025-08-07 12:55:42.100618,0 days 00:00:00.175357,5,50,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:42.100618,2025-08-07 12:55:42.262228,0 days 00:00:00.161610,5,50,COMPLETE
13,0.9987515605493135,2025-08-07 12:55:42.262228,2025-08-07 12:55:42.426905,0 days 00:00:00.164677,5,50,COMPLETE
14,0.9987515605493135,2025-08-07 12:55:42.426905,2025-08-07 12:55:42.576217,0 days 00:00:00.149312,3,50,COMPLETE
15,0.9987515605493135,2025-08-07 12:55:42.576217,2025-08-07 12:55:42.735182,0 days 00:00:00.158965,5,50,COMPLETE
16,0.9987515605493135,2025-08-07 12:55:42.735182,2025-08-07 12:55:42.895327,0 days 00:00:00.160145,5,50,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:42.895327,2025-08-07 12:55:43.211457,0 days 00:00:00.316130,3,100,COMPLETE
18,0.9987515605493135,2025-08-07 12:55:43.213214,2025-08-07 12:55:43.377223,0 days 00:00:00.164009,5,50,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:43.377223,2025-08-07 12:55:43.689878,0 days 00:00:00.312655,3,100,COMPLETE
