number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9987515605493135,2025-08-13 16:04:55.823763,2025-08-13 16:04:56.304536,0 days 00:00:00.480773,3,100,COMPLETE
1,0.9987515605493135,2025-08-13 16:04:56.304536,2025-08-13 16:04:56.819620,0 days 00:00:00.515084,5,100,COMPLETE
2,0.9987515605493135,2025-08-13 16:04:56.819620,2025-08-13 16:04:57.054463,0 days 00:00:00.234843,3,50,COMPLETE
3,0.9975031210986267,2025-08-13 16:04:57.054463,2025-08-13 16:04:57.328120,0 days 00:00:00.273657,5,50,COMPLETE
4,0.9987515605493135,2025-08-13 16:04:57.330132,2025-08-13 16:04:57.621970,0 days 00:00:00.291838,3,50,COMPLETE
5,0.9987515605493135,2025-08-13 16:04:57.621970,2025-08-13 16:04:57.894785,0 days 00:00:00.272815,5,50,COMPLETE
6,0.9987515605493135,2025-08-13 16:04:57.894785,2025-08-13 16:04:58.423157,0 days 00:00:00.528372,3,100,COMPLETE
7,0.9975031210986267,2025-08-13 16:04:58.423157,2025-08-13 16:04:58.699926,0 days 00:00:00.276769,5,50,COMPLETE
8,0.9987515605493135,2025-08-13 16:04:58.699926,2025-08-13 16:04:59.300104,0 days 00:00:00.600178,5,100,COMPLETE
9,0.9975031210986267,2025-08-13 16:04:59.302115,2025-08-13 16:04:59.872558,0 days 00:00:00.570443,5,100,COMPLETE
10,0.9987515605493135,2025-08-13 16:04:59.872558,2025-08-13 16:05:00.414947,0 days 00:00:00.542389,3,100,COMPLETE
11,0.9975031210986267,2025-08-13 16:05:00.414947,2025-08-13 16:05:00.975093,0 days 00:00:00.560146,3,100,COMPLETE
12,0.9987515605493135,2025-08-13 16:05:00.975093,2025-08-13 16:05:01.531896,0 days 00:00:00.556803,3,100,COMPLETE
13,0.9987515605493135,2025-08-13 16:05:01.531896,2025-08-13 16:05:02.076105,0 days 00:00:00.544209,5,100,COMPLETE
14,0.9987515605493135,2025-08-13 16:05:02.076105,2025-08-13 16:05:02.719401,0 days 00:00:00.643296,5,100,COMPLETE
15,0.9987515605493135,2025-08-13 16:05:02.719401,2025-08-13 16:05:03.284518,0 days 00:00:00.565117,3,100,COMPLETE
16,0.9987515605493135,2025-08-13 16:05:03.284518,2025-08-13 16:05:03.873994,0 days 00:00:00.589476,3,100,COMPLETE
17,0.9987515605493135,2025-08-13 16:05:03.873994,2025-08-13 16:05:04.416326,0 days 00:00:00.542332,5,100,COMPLETE
18,0.9975031210986267,2025-08-13 16:05:04.416326,2025-08-13 16:05:04.964402,0 days 00:00:00.548076,3,100,COMPLETE
19,0.9987515605493135,2025-08-13 16:05:04.964402,2025-08-13 16:05:05.503813,0 days 00:00:00.539411,5,100,COMPLETE
