number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-07 12:56:08.429480,2025-08-07 12:56:08.448878,0 days 00:00:00.019398,1.0,rbf,COMPLETE
1,0.9975031210986267,2025-08-07 12:56:08.450953,2025-08-07 12:56:08.464489,0 days 00:00:00.013536,1.0,rbf,COMPLETE
2,0.9975031210986267,2025-08-07 12:56:08.464489,2025-08-07 12:56:08.482484,0 days 00:00:00.017995,0.1,rbf,COMPLETE
3,0.9975031210986267,2025-08-07 12:56:08.482484,2025-08-07 12:56:08.494424,0 days 00:00:00.011940,0.1,rbf,COMPLETE
4,0.9975031210986267,2025-08-07 12:56:08.496170,2025-08-07 12:56:08.507741,0 days 00:00:00.011571,0.1,rbf,COMPLETE
5,0.9975031210986267,2025-08-07 12:56:08.507741,2025-08-07 12:56:08.512259,0 days 00:00:00.004518,0.1,rbf,COMPLETE
6,0.9962499882665465,2025-08-07 12:56:08.512259,2025-08-07 12:56:08.528079,0 days 00:00:00.015820,1.0,linear,COMPLETE
7,0.9962499882665465,2025-08-07 12:56:08.528079,2025-08-07 12:56:08.544798,0 days 00:00:00.016719,1.0,linear,COMPLETE
8,0.9975031210986267,2025-08-07 12:56:08.544798,2025-08-07 12:56:08.558944,0 days 00:00:00.014146,0.1,linear,COMPLETE
9,0.9975031210986267,2025-08-07 12:56:08.558944,2025-08-07 12:56:08.559954,0 days 00:00:00.001010,0.1,linear,COMPLETE
10,0.9975031210986267,2025-08-07 12:56:08.559954,2025-08-07 12:56:08.578455,0 days 00:00:00.018501,1.0,rbf,COMPLETE
11,0.9975031210986267,2025-08-07 12:56:08.578455,2025-08-07 12:56:08.591705,0 days 00:00:00.013250,1.0,rbf,COMPLETE
12,0.9975031210986267,2025-08-07 12:56:08.591705,2025-08-07 12:56:08.607538,0 days 00:00:00.015833,1.0,rbf,COMPLETE
13,0.9975031210986267,2025-08-07 12:56:08.607538,2025-08-07 12:56:08.627532,0 days 00:00:00.019994,1.0,rbf,COMPLETE
14,0.9975031210986267,2025-08-07 12:56:08.627532,2025-08-07 12:56:08.639574,0 days 00:00:00.012042,1.0,rbf,COMPLETE
15,0.9975031210986267,2025-08-07 12:56:08.639574,2025-08-07 12:56:08.655373,0 days 00:00:00.015799,1.0,rbf,COMPLETE
16,0.9975031210986267,2025-08-07 12:56:08.655373,2025-08-07 12:56:08.673587,0 days 00:00:00.018214,1.0,rbf,COMPLETE
17,0.9975031210986267,2025-08-07 12:56:08.673587,2025-08-07 12:56:08.687679,0 days 00:00:00.014092,1.0,rbf,COMPLETE
18,0.9962499882665465,2025-08-07 12:56:08.687679,2025-08-07 12:56:08.705689,0 days 00:00:00.018010,1.0,linear,COMPLETE
19,0.9975031210986267,2025-08-07 12:56:08.705689,2025-08-07 12:56:08.725136,0 days 00:00:00.019447,1.0,rbf,COMPLETE
