number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-13 16:04:37.755121,2025-08-13 16:04:37.786950,0 days 00:00:00.031829,1.0,rbf,COMPLETE
1,0.9987515605493135,2025-08-13 16:04:37.786950,2025-08-13 16:04:37.819862,0 days 00:00:00.032912,0.1,linear,COMPLETE
2,0.9987515605493135,2025-08-13 16:04:37.819862,2025-08-13 16:04:37.839837,0 days 00:00:00.019975,1.0,linear,COMPLETE
3,0.9975031210986267,2025-08-13 16:04:37.839837,2025-08-13 16:04:37.867399,0 days 00:00:00.027562,1.0,rbf,COMPLETE
4,0.9975031210986267,2025-08-13 16:04:37.867399,2025-08-13 16:04:37.894294,0 days 00:00:00.026895,1.0,rbf,COMPLETE
5,0.9975031210986267,2025-08-13 16:04:37.896301,2025-08-13 16:04:37.939964,0 days 00:00:00.043663,1.0,rbf,COMPLETE
6,0.9987515605493135,2025-08-13 16:04:37.939964,2025-08-13 16:04:37.962083,0 days 00:00:00.022119,0.1,linear,COMPLETE
7,0.9987515605493135,2025-08-13 16:04:37.962083,2025-08-13 16:04:37.987420,0 days 00:00:00.025337,1.0,linear,COMPLETE
8,0.9987515605493135,2025-08-13 16:04:37.987420,2025-08-13 16:04:38.010030,0 days 00:00:00.022610,0.1,linear,COMPLETE
9,0.9975031210986267,2025-08-13 16:04:38.010030,2025-08-13 16:04:38.036467,0 days 00:00:00.026437,0.1,rbf,COMPLETE
10,0.9987515605493135,2025-08-13 16:04:38.036467,2025-08-13 16:04:38.053180,0 days 00:00:00.016713,0.1,linear,COMPLETE
11,0.9987515605493135,2025-08-13 16:04:38.053180,2025-08-13 16:04:38.084969,0 days 00:00:00.031789,0.1,linear,COMPLETE
12,0.9987515605493135,2025-08-13 16:04:38.084969,2025-08-13 16:04:38.093365,0 days 00:00:00.008396,0.1,linear,COMPLETE
13,0.9987515605493135,2025-08-13 16:04:38.093365,2025-08-13 16:04:38.132198,0 days 00:00:00.038833,1.0,linear,COMPLETE
14,0.9987515605493135,2025-08-13 16:04:38.135070,2025-08-13 16:04:38.159930,0 days 00:00:00.024860,0.1,linear,COMPLETE
15,0.9987515605493135,2025-08-13 16:04:38.159930,2025-08-13 16:04:38.182122,0 days 00:00:00.022192,1.0,linear,COMPLETE
16,0.9987515605493135,2025-08-13 16:04:38.182122,2025-08-13 16:04:38.209700,0 days 00:00:00.027578,0.1,linear,COMPLETE
17,0.9987515605493135,2025-08-13 16:04:38.212213,2025-08-13 16:04:38.242212,0 days 00:00:00.029999,1.0,linear,COMPLETE
18,0.9987515605493135,2025-08-13 16:04:38.242212,2025-08-13 16:04:38.264232,0 days 00:00:00.022020,0.1,linear,COMPLETE
19,0.9987515605493135,2025-08-13 16:04:38.272138,2025-08-13 16:04:38.302316,0 days 00:00:00.030178,1.0,linear,COMPLETE
