number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-08-07 12:55:53.588854,2025-08-07 12:55:53.614396,0 days 00:00:00.025542,0.1,COMPLETE
1,0.9975031210986267,2025-08-07 12:55:53.614396,2025-08-07 12:55:53.637286,0 days 00:00:00.022890,1.0,COMPLETE
2,0.9975031210986267,2025-08-07 12:55:53.637286,2025-08-07 12:55:53.666986,0 days 00:00:00.029700,1.0,COMPLETE
3,0.9975031210986267,2025-08-07 12:55:53.666986,2025-08-07 12:55:53.710292,0 days 00:00:00.043306,10.0,COMPLETE
4,0.9975031210986267,2025-08-07 12:55:53.710292,2025-08-07 12:55:53.726227,0 days 00:00:00.015935,1.0,COMPLETE
5,0.9975031210986267,2025-08-07 12:55:53.726227,2025-08-07 12:55:53.757886,0 days 00:00:00.031659,1.0,COMPLETE
6,0.9975031210986267,2025-08-07 12:55:53.757886,2025-08-07 12:55:53.789496,0 days 00:00:00.031610,0.1,COMPLETE
7,0.9975031210986267,2025-08-07 12:55:53.789496,2025-08-07 12:55:53.822046,0 days 00:00:00.032550,1.0,COMPLETE
8,0.9975031210986267,2025-08-07 12:55:53.822046,2025-08-07 12:55:53.856581,0 days 00:00:00.034535,1.0,COMPLETE
9,0.9975031210986267,2025-08-07 12:55:53.856581,2025-08-07 12:55:53.884963,0 days 00:00:00.028382,1.0,COMPLETE
10,0.9975031210986267,2025-08-07 12:55:53.884963,2025-08-07 12:55:53.902894,0 days 00:00:00.017931,0.1,COMPLETE
11,0.9975031210986267,2025-08-07 12:55:53.902894,2025-08-07 12:55:53.933509,0 days 00:00:00.030615,0.1,COMPLETE
12,0.9975031210986267,2025-08-07 12:55:53.933509,2025-08-07 12:55:53.964666,0 days 00:00:00.031157,10.0,COMPLETE
13,0.9975031210986267,2025-08-07 12:55:53.964666,2025-08-07 12:55:53.980312,0 days 00:00:00.015646,0.1,COMPLETE
14,0.9975031210986267,2025-08-07 12:55:53.996087,2025-08-07 12:55:54.023763,0 days 00:00:00.027676,0.1,COMPLETE
15,0.9975031210986267,2025-08-07 12:55:54.023763,2025-08-07 12:55:54.039253,0 days 00:00:00.015490,10.0,COMPLETE
16,0.9975031210986267,2025-08-07 12:55:54.039253,2025-08-07 12:55:54.053888,0 days 00:00:00.014635,0.1,COMPLETE
17,0.9975031210986267,2025-08-07 12:55:54.053888,2025-08-07 12:55:54.075406,0 days 00:00:00.021518,1.0,COMPLETE
18,0.9975031210986267,2025-08-07 12:55:54.075406,2025-08-07 12:55:54.082464,0 days 00:00:00.007058,0.1,COMPLETE
19,0.9975031210986267,2025-08-07 12:55:54.091054,2025-08-07 12:55:54.109317,0 days 00:00:00.018263,10.0,COMPLETE
