number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-07 12:55:48.521359,2025-08-07 12:55:48.558794,0 days 00:00:00.037435,1.0,rbf,COMPLETE
1,0.9987515605493135,2025-08-07 12:55:48.558794,2025-08-07 12:55:48.568627,0 days 00:00:00.009833,0.1,linear,COMPLETE
2,0.9975031210986267,2025-08-07 12:55:48.568627,2025-08-07 12:55:48.590406,0 days 00:00:00.021779,1.0,rbf,COMPLETE
3,0.9987515605493135,2025-08-07 12:55:48.590406,2025-08-07 12:55:48.602481,0 days 00:00:00.012075,0.1,linear,COMPLETE
4,0.9987515605493135,2025-08-07 12:55:48.602481,2025-08-07 12:55:48.609165,0 days 00:00:00.006684,0.1,linear,COMPLETE
5,0.9975031210986267,2025-08-07 12:55:48.609165,2025-08-07 12:55:48.631842,0 days 00:00:00.022677,0.1,rbf,COMPLETE
6,0.9975031210986267,2025-08-07 12:55:48.635402,2025-08-07 12:55:48.649923,0 days 00:00:00.014521,0.1,rbf,COMPLETE
7,0.9987515605493135,2025-08-07 12:55:48.651928,2025-08-07 12:55:48.663571,0 days 00:00:00.011643,0.1,linear,COMPLETE
8,0.9987515605493135,2025-08-07 12:55:48.663571,2025-08-07 12:55:48.663571,0 days 00:00:00,0.1,linear,COMPLETE
9,0.9975031210986267,2025-08-07 12:55:48.663571,2025-08-07 12:55:48.679550,0 days 00:00:00.015979,0.1,rbf,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:48.679550,2025-08-07 12:55:48.701089,0 days 00:00:00.021539,1.0,linear,COMPLETE
11,0.9987515605493135,2025-08-07 12:55:48.701089,2025-08-07 12:55:48.714671,0 days 00:00:00.013582,0.1,linear,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:48.714671,2025-08-07 12:55:48.726341,0 days 00:00:00.011670,0.1,linear,COMPLETE
13,0.9987515605493135,2025-08-07 12:55:48.726341,2025-08-07 12:55:48.737646,0 days 00:00:00.011305,0.1,linear,COMPLETE
14,0.9987515605493135,2025-08-07 12:55:48.737646,2025-08-07 12:55:48.742287,0 days 00:00:00.004641,1.0,linear,COMPLETE
15,0.9987515605493135,2025-08-07 12:55:48.742287,2025-08-07 12:55:48.758412,0 days 00:00:00.016125,0.1,linear,COMPLETE
16,0.9987515605493135,2025-08-07 12:55:48.758412,2025-08-07 12:55:48.774237,0 days 00:00:00.015825,0.1,linear,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:48.774237,2025-08-07 12:55:48.793795,0 days 00:00:00.019558,0.1,linear,COMPLETE
18,0.9987515605493135,2025-08-07 12:55:48.793795,2025-08-07 12:55:48.806450,0 days 00:00:00.012655,1.0,linear,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:48.806450,2025-08-07 12:55:48.806450,0 days 00:00:00,0.1,linear,COMPLETE
