number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-08-13 16:04:45.480135,2025-08-13 16:04:45.514693,0 days 00:00:00.034558,1.0,COMPLETE
1,0.9987515605493135,2025-08-13 16:04:45.514693,2025-08-13 16:04:45.544174,0 days 00:00:00.029481,10.0,COMPLETE
2,0.9987515605493135,2025-08-13 16:04:45.548412,2025-08-13 16:04:45.574600,0 days 00:00:00.026188,0.1,COMPLETE
3,0.9987515605493135,2025-08-13 16:04:45.574600,2025-08-13 16:04:45.616951,0 days 00:00:00.042351,10.0,COMPLETE
4,0.9987515605493135,2025-08-13 16:04:45.619985,2025-08-13 16:04:45.669507,0 days 00:00:00.049522,0.1,COMPLETE
5,0.9987515605493135,2025-08-13 16:04:45.669507,2025-08-13 16:04:45.693289,0 days 00:00:00.023782,0.1,COMPLETE
6,0.9987515605493135,2025-08-13 16:04:45.693289,2025-08-13 16:04:45.719362,0 days 00:00:00.026073,0.1,COMPLETE
7,0.9987515605493135,2025-08-13 16:04:45.719362,2025-08-13 16:04:45.744226,0 days 00:00:00.024864,0.1,COMPLETE
8,0.9987515605493135,2025-08-13 16:04:45.744226,2025-08-13 16:04:45.774385,0 days 00:00:00.030159,10.0,COMPLETE
9,0.9987515605493135,2025-08-13 16:04:45.774385,2025-08-13 16:04:45.803648,0 days 00:00:00.029263,10.0,COMPLETE
10,0.9987515605493135,2025-08-13 16:04:45.803648,2025-08-13 16:04:45.833253,0 days 00:00:00.029605,1.0,COMPLETE
11,0.9987515605493135,2025-08-13 16:04:45.833253,2025-08-13 16:04:45.862025,0 days 00:00:00.028772,1.0,COMPLETE
12,0.9987515605493135,2025-08-13 16:04:45.865952,2025-08-13 16:04:45.897289,0 days 00:00:00.031337,1.0,COMPLETE
13,0.9987515605493135,2025-08-13 16:04:45.897289,2025-08-13 16:04:45.922330,0 days 00:00:00.025041,1.0,COMPLETE
14,0.9987515605493135,2025-08-13 16:04:45.922330,2025-08-13 16:04:45.950624,0 days 00:00:00.028294,10.0,COMPLETE
15,0.9987515605493135,2025-08-13 16:04:45.950624,2025-08-13 16:04:45.982273,0 days 00:00:00.031649,1.0,COMPLETE
16,0.9987515605493135,2025-08-13 16:04:45.982273,2025-08-13 16:04:46.001903,0 days 00:00:00.019630,10.0,COMPLETE
17,0.9987515605493135,2025-08-13 16:04:46.001903,2025-08-13 16:04:46.034104,0 days 00:00:00.032201,10.0,COMPLETE
18,0.9987515605493135,2025-08-13 16:04:46.034104,2025-08-13 16:04:46.076072,0 days 00:00:00.041968,1.0,COMPLETE
19,0.9987515605493135,2025-08-13 16:04:46.076072,2025-08-13 16:04:46.097018,0 days 00:00:00.020946,1.0,COMPLETE
