number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-08-13 16:05:19.811202,2025-08-13 16:05:19.838878,0 days 00:00:00.027676,0.1,COMPLETE
1,0.9975031210986267,2025-08-13 16:05:19.838878,2025-08-13 16:05:19.869663,0 days 00:00:00.030785,0.1,COMPLETE
2,0.9975031210986267,2025-08-13 16:05:19.869663,2025-08-13 16:05:19.903007,0 days 00:00:00.033344,10.0,COMPLETE
3,0.9975031210986267,2025-08-13 16:05:19.903007,2025-08-13 16:05:19.936322,0 days 00:00:00.033315,1.0,COMPLETE
4,0.9975031210986267,2025-08-13 16:05:19.936322,2025-08-13 16:05:19.952047,0 days 00:00:00.015725,1.0,COMPLETE
5,0.9975031210986267,2025-08-13 16:05:19.952047,2025-08-13 16:05:19.999604,0 days 00:00:00.047557,1.0,COMPLETE
6,0.9975031210986267,2025-08-13 16:05:20.000650,2025-08-13 16:05:20.032732,0 days 00:00:00.032082,10.0,COMPLETE
7,0.9975031210986267,2025-08-13 16:05:20.032732,2025-08-13 16:05:20.051950,0 days 00:00:00.019218,0.1,COMPLETE
8,0.9975031210986267,2025-08-13 16:05:20.051950,2025-08-13 16:05:20.082034,0 days 00:00:00.030084,0.1,COMPLETE
9,0.9975031210986267,2025-08-13 16:05:20.082034,2025-08-13 16:05:20.114664,0 days 00:00:00.032630,1.0,COMPLETE
10,0.9975031210986267,2025-08-13 16:05:20.116691,2025-08-13 16:05:20.145915,0 days 00:00:00.029224,0.1,COMPLETE
11,0.9975031210986267,2025-08-13 16:05:20.147702,2025-08-13 16:05:20.176685,0 days 00:00:00.028983,0.1,COMPLETE
12,0.9975031210986267,2025-08-13 16:05:20.176685,2025-08-13 16:05:20.201894,0 days 00:00:00.025209,0.1,COMPLETE
13,0.9975031210986267,2025-08-13 16:05:20.201894,2025-08-13 16:05:20.363882,0 days 00:00:00.161988,0.1,COMPLETE
14,0.9975031210986267,2025-08-13 16:05:20.363882,2025-08-13 16:05:20.385613,0 days 00:00:00.021731,0.1,COMPLETE
15,0.9975031210986267,2025-08-13 16:05:20.391786,2025-08-13 16:05:20.401962,0 days 00:00:00.010176,0.1,COMPLETE
16,0.9975031210986267,2025-08-13 16:05:20.401962,2025-08-13 16:05:20.443091,0 days 00:00:00.041129,10.0,COMPLETE
17,0.9975031210986267,2025-08-13 16:05:20.443091,2025-08-13 16:05:20.474865,0 days 00:00:00.031774,0.1,COMPLETE
18,0.9975031210986267,2025-08-13 16:05:20.474865,2025-08-13 16:05:20.496849,0 days 00:00:00.021984,0.1,COMPLETE
19,0.9975031210986267,2025-08-13 16:05:20.496849,2025-08-13 16:05:20.529858,0 days 00:00:00.033009,10.0,COMPLETE
