number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9975031210986267,2025-08-13 16:04:14.622240,2025-08-13 16:04:15.178310,0 days 00:00:00.556070,5,50,COMPLETE
1,0.9987515605493135,2025-08-13 16:04:15.178310,2025-08-13 16:04:15.837639,0 days 00:00:00.659329,3,50,COMPLETE
2,0.9987515605493135,2025-08-13 16:04:15.837639,2025-08-13 16:04:17.062053,0 days 00:00:01.224414,3,100,COMPLETE
3,0.9975031210986267,2025-08-13 16:04:17.062053,2025-08-13 16:04:17.603413,0 days 00:00:00.541360,5,50,COMPLETE
4,0.9975031210986267,2025-08-13 16:04:17.605716,2025-08-13 16:04:18.647604,0 days 00:00:01.041888,5,100,COMPLETE
5,0.9987515605493135,2025-08-13 16:04:18.647604,2025-08-13 16:04:19.816148,0 days 00:00:01.168544,3,100,COMPLETE
6,0.9975031210986267,2025-08-13 16:04:19.816148,2025-08-13 16:04:20.957864,0 days 00:00:01.141716,5,100,COMPLETE
7,0.9975031210986267,2025-08-13 16:04:20.957864,2025-08-13 16:04:21.639907,0 days 00:00:00.682043,3,50,COMPLETE
8,0.9975031210986267,2025-08-13 16:04:21.642426,2025-08-13 16:04:22.212367,0 days 00:00:00.569941,3,50,COMPLETE
9,0.9975031210986267,2025-08-13 16:04:22.216863,2025-08-13 16:04:23.490574,0 days 00:00:01.273711,3,100,COMPLETE
10,0.9987515605493135,2025-08-13 16:04:23.493003,2025-08-13 16:04:24.119090,0 days 00:00:00.626087,3,50,COMPLETE
11,0.9987515605493135,2025-08-13 16:04:24.121098,2025-08-13 16:04:25.371966,0 days 00:00:01.250868,3,100,COMPLETE
12,0.9975031210986267,2025-08-13 16:04:25.371966,2025-08-13 16:04:25.969057,0 days 00:00:00.597091,3,50,COMPLETE
13,0.9987515605493135,2025-08-13 16:04:25.972301,2025-08-13 16:04:27.404141,0 days 00:00:01.431840,3,100,COMPLETE
14,0.9975031210986267,2025-08-13 16:04:27.404141,2025-08-13 16:04:28.011373,0 days 00:00:00.607232,3,100,COMPLETE
15,0.9987515605493135,2025-08-13 16:04:28.012381,2025-08-13 16:04:28.314077,0 days 00:00:00.301696,3,50,COMPLETE
16,0.9975031210986267,2025-08-13 16:04:28.315528,2025-08-13 16:04:28.672410,0 days 00:00:00.356882,3,50,COMPLETE
17,0.9987515605493135,2025-08-13 16:04:28.673999,2025-08-13 16:04:29.263714,0 days 00:00:00.589715,3,100,COMPLETE
18,0.9987515605493135,2025-08-13 16:04:29.265729,2025-08-13 16:04:29.632237,0 days 00:00:00.366508,5,50,COMPLETE
19,0.9987515605493135,2025-08-13 16:04:29.632237,2025-08-13 16:04:30.232259,0 days 00:00:00.600022,3,100,COMPLETE
