number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-08-13 16:05:39.984354,2025-08-13 16:05:40.002747,0 days 00:00:00.018393,0.1,rbf,COMPLETE
1,0.9975031210986267,2025-08-13 16:05:40.002747,2025-08-13 16:05:40.036962,0 days 00:00:00.034215,0.1,rbf,COMPLETE
2,0.9962499882665465,2025-08-13 16:05:40.036962,2025-08-13 16:05:40.062066,0 days 00:00:00.025104,1.0,linear,COMPLETE
3,0.9975031210986267,2025-08-13 16:05:40.062066,2025-08-13 16:05:40.081771,0 days 00:00:00.019705,0.1,linear,COMPLETE
4,0.9975031210986267,2025-08-13 16:05:40.081771,2025-08-13 16:05:40.119950,0 days 00:00:00.038179,0.1,rbf,COMPLETE
5,0.9975031210986267,2025-08-13 16:05:40.119950,2025-08-13 16:05:40.132940,0 days 00:00:00.012990,0.1,rbf,COMPLETE
6,0.9975031210986267,2025-08-13 16:05:40.132940,2025-08-13 16:05:40.160245,0 days 00:00:00.027305,0.1,linear,COMPLETE
7,0.9962499882665465,2025-08-13 16:05:40.160245,2025-08-13 16:05:40.189940,0 days 00:00:00.029695,1.0,linear,COMPLETE
8,0.9975031210986267,2025-08-13 16:05:40.189940,2025-08-13 16:05:40.219830,0 days 00:00:00.029890,0.1,rbf,COMPLETE
9,0.9962499882665465,2025-08-13 16:05:40.221842,2025-08-13 16:05:40.239900,0 days 00:00:00.018058,1.0,linear,COMPLETE
10,0.9975031210986267,2025-08-13 16:05:40.239900,2025-08-13 16:05:40.263729,0 days 00:00:00.023829,1.0,rbf,COMPLETE
11,0.9975031210986267,2025-08-13 16:05:40.263729,2025-08-13 16:05:40.286764,0 days 00:00:00.023035,0.1,rbf,COMPLETE
12,0.9975031210986267,2025-08-13 16:05:40.289607,2025-08-13 16:05:40.311632,0 days 00:00:00.022025,0.1,rbf,COMPLETE
13,0.9975031210986267,2025-08-13 16:05:40.316750,2025-08-13 16:05:40.339662,0 days 00:00:00.022912,0.1,rbf,COMPLETE
14,0.9975031210986267,2025-08-13 16:05:40.339662,2025-08-13 16:05:40.366006,0 days 00:00:00.026344,0.1,rbf,COMPLETE
15,0.9975031210986267,2025-08-13 16:05:40.367606,2025-08-13 16:05:40.384822,0 days 00:00:00.017216,0.1,rbf,COMPLETE
16,0.9975031210986267,2025-08-13 16:05:40.384822,2025-08-13 16:05:40.419628,0 days 00:00:00.034806,0.1,rbf,COMPLETE
17,0.9975031210986267,2025-08-13 16:05:40.419628,2025-08-13 16:05:40.435492,0 days 00:00:00.015864,0.1,rbf,COMPLETE
18,0.9975031210986267,2025-08-13 16:05:40.435492,2025-08-13 16:05:40.467922,0 days 00:00:00.032430,1.0,rbf,COMPLETE
19,0.9975031210986267,2025-08-13 16:05:40.467922,2025-08-13 16:05:40.494065,0 days 00:00:00.026143,0.1,rbf,COMPLETE
