number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-08-07 12:55:33.643813,2025-08-07 12:55:33.675321,0 days 00:00:00.031508,1.0,COMPLETE
1,0.9987515605493135,2025-08-07 12:55:33.676269,2025-08-07 12:55:33.692578,0 days 00:00:00.016309,10.0,COMPLETE
2,0.9987515605493135,2025-08-07 12:55:33.692578,2025-08-07 12:55:33.724950,0 days 00:00:00.032372,10.0,COMPLETE
3,0.9987515605493135,2025-08-07 12:55:33.729079,2025-08-07 12:55:33.755260,0 days 00:00:00.026181,10.0,COMPLETE
4,0.9987515605493135,2025-08-07 12:55:33.755260,2025-08-07 12:55:33.786183,0 days 00:00:00.030923,1.0,COMPLETE
5,0.9987515605493135,2025-08-07 12:55:33.786183,2025-08-07 12:55:33.808238,0 days 00:00:00.022055,10.0,COMPLETE
6,0.9987515605493135,2025-08-07 12:55:33.808238,2025-08-07 12:55:33.833771,0 days 00:00:00.025533,0.1,COMPLETE
7,0.9987515605493135,2025-08-07 12:55:33.841703,2025-08-07 12:55:33.865383,0 days 00:00:00.023680,0.1,COMPLETE
8,0.9987515605493135,2025-08-07 12:55:33.865383,2025-08-07 12:55:33.881142,0 days 00:00:00.015759,10.0,COMPLETE
9,0.9987515605493135,2025-08-07 12:55:33.897108,2025-08-07 12:55:33.912762,0 days 00:00:00.015654,0.1,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:33.912762,2025-08-07 12:55:33.945082,0 days 00:00:00.032320,1.0,COMPLETE
11,0.9987515605493135,2025-08-07 12:55:33.945082,2025-08-07 12:55:33.977054,0 days 00:00:00.031972,1.0,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:33.977054,2025-08-07 12:55:34.007799,0 days 00:00:00.030745,1.0,COMPLETE
13,0.9987515605493135,2025-08-07 12:55:34.007799,2025-08-07 12:55:34.023785,0 days 00:00:00.015986,10.0,COMPLETE
14,0.9987515605493135,2025-08-07 12:55:34.023785,2025-08-07 12:55:34.055341,0 days 00:00:00.031556,1.0,COMPLETE
15,0.9987515605493135,2025-08-07 12:55:34.055341,2025-08-07 12:55:34.092113,0 days 00:00:00.036772,10.0,COMPLETE
16,0.9987515605493135,2025-08-07 12:55:34.092113,2025-08-07 12:55:34.118509,0 days 00:00:00.026396,1.0,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:34.118509,2025-08-07 12:55:34.134398,0 days 00:00:00.015889,10.0,COMPLETE
18,0.9987515605493135,2025-08-07 12:55:34.134398,2025-08-07 12:55:34.166127,0 days 00:00:00.031729,1.0,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:34.166127,2025-08-07 12:55:34.197780,0 days 00:00:00.031653,0.1,COMPLETE
