number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-08-07 12:56:13.425314,2025-08-07 12:56:13.443616,0 days 00:00:00.018302,1.0,COMPLETE
1,0.9987515605493135,2025-08-07 12:56:13.443616,2025-08-07 12:56:13.459287,0 days 00:00:00.015671,10.0,COMPLETE
2,0.9987515605493135,2025-08-07 12:56:13.459287,2025-08-07 12:56:13.477193,0 days 00:00:00.017906,10.0,COMPLETE
3,0.9975031210986267,2025-08-07 12:56:13.477193,2025-08-07 12:56:13.510705,0 days 00:00:00.033512,0.1,COMPLETE
4,0.9987515605493135,2025-08-07 12:56:13.510705,2025-08-07 12:56:13.538485,0 days 00:00:00.027780,10.0,COMPLETE
5,0.9975031210986267,2025-08-07 12:56:13.538485,2025-08-07 12:56:13.561490,0 days 00:00:00.023005,0.1,COMPLETE
6,0.9987515605493135,2025-08-07 12:56:13.561490,2025-08-07 12:56:13.590894,0 days 00:00:00.029404,10.0,COMPLETE
7,0.9975031210986267,2025-08-07 12:56:13.590894,2025-08-07 12:56:13.617653,0 days 00:00:00.026759,0.1,COMPLETE
8,0.9975031210986267,2025-08-07 12:56:13.617653,2025-08-07 12:56:13.633317,0 days 00:00:00.015664,0.1,COMPLETE
9,0.9987515605493135,2025-08-07 12:56:13.633317,2025-08-07 12:56:13.674420,0 days 00:00:00.041103,10.0,COMPLETE
10,0.9975031210986267,2025-08-07 12:56:13.674420,2025-08-07 12:56:13.699327,0 days 00:00:00.024907,1.0,COMPLETE
11,0.9987515605493135,2025-08-07 12:56:13.699327,2025-08-07 12:56:13.728981,0 days 00:00:00.029654,10.0,COMPLETE
12,0.9987515605493135,2025-08-07 12:56:13.730994,2025-08-07 12:56:13.748476,0 days 00:00:00.017482,10.0,COMPLETE
13,0.9987515605493135,2025-08-07 12:56:13.748476,2025-08-07 12:56:13.776580,0 days 00:00:00.028104,10.0,COMPLETE
14,0.9987515605493135,2025-08-07 12:56:13.776580,2025-08-07 12:56:13.807896,0 days 00:00:00.031316,10.0,COMPLETE
15,0.9987515605493135,2025-08-07 12:56:13.807896,2025-08-07 12:56:13.830870,0 days 00:00:00.022974,10.0,COMPLETE
16,0.9975031210986267,2025-08-07 12:56:13.830870,2025-08-07 12:56:13.860099,0 days 00:00:00.029229,1.0,COMPLETE
17,0.9987515605493135,2025-08-07 12:56:13.860099,2025-08-07 12:56:13.889183,0 days 00:00:00.029084,10.0,COMPLETE
18,0.9987515605493135,2025-08-07 12:56:13.889183,2025-08-07 12:56:13.925921,0 days 00:00:00.036738,10.0,COMPLETE
19,0.9975031210986267,2025-08-07 12:56:13.927927,2025-08-07 12:56:13.959109,0 days 00:00:00.031182,1.0,COMPLETE
