number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9987515605493135,2025-08-07 12:55:18.719420,2025-08-07 12:55:19.029002,0 days 00:00:00.309582,5,100,COMPLETE
1,0.9975031210986267,2025-08-07 12:55:19.029002,2025-08-07 12:55:19.338301,0 days 00:00:00.309299,5,100,COMPLETE
2,0.9987515605493135,2025-08-07 12:55:19.338301,2025-08-07 12:55:19.513583,0 days 00:00:00.175282,3,50,COMPLETE
3,0.9987515605493135,2025-08-07 12:55:19.513583,2025-08-07 12:55:19.672144,0 days 00:00:00.158561,3,50,COMPLETE
4,0.9975031210986267,2025-08-07 12:55:19.672144,2025-08-07 12:55:19.988809,0 days 00:00:00.316665,5,100,COMPLETE
5,0.9975031210986267,2025-08-07 12:55:19.988809,2025-08-07 12:55:20.331319,0 days 00:00:00.342510,3,100,COMPLETE
6,0.9975031210986267,2025-08-07 12:55:20.331319,2025-08-07 12:55:20.645751,0 days 00:00:00.314432,5,100,COMPLETE
7,0.9975031210986267,2025-08-07 12:55:20.645751,2025-08-07 12:55:20.956899,0 days 00:00:00.311148,3,100,COMPLETE
8,0.9987515605493135,2025-08-07 12:55:20.956899,2025-08-07 12:55:21.277433,0 days 00:00:00.320534,3,100,COMPLETE
9,0.9975031210986267,2025-08-07 12:55:21.277433,2025-08-07 12:55:21.586614,0 days 00:00:00.309181,3,100,COMPLETE
10,0.9987515605493135,2025-08-07 12:55:21.586614,2025-08-07 12:55:21.738320,0 days 00:00:00.151706,5,50,COMPLETE
11,0.9975031210986267,2025-08-07 12:55:21.738320,2025-08-07 12:55:21.897968,0 days 00:00:00.159648,5,50,COMPLETE
12,0.9987515605493135,2025-08-07 12:55:21.897968,2025-08-07 12:55:22.072652,0 days 00:00:00.174684,3,50,COMPLETE
13,0.9975031210986267,2025-08-07 12:55:22.072652,2025-08-07 12:55:22.232513,0 days 00:00:00.159861,5,50,COMPLETE
14,0.9975031210986267,2025-08-07 12:55:22.232513,2025-08-07 12:55:22.417109,0 days 00:00:00.184596,3,50,COMPLETE
15,0.9975031210986267,2025-08-07 12:55:22.417109,2025-08-07 12:55:22.581350,0 days 00:00:00.164241,5,50,COMPLETE
16,0.9975031210986267,2025-08-07 12:55:22.581350,2025-08-07 12:55:22.739690,0 days 00:00:00.158340,3,50,COMPLETE
17,0.9987515605493135,2025-08-07 12:55:22.739690,2025-08-07 12:55:23.042634,0 days 00:00:00.302944,5,100,COMPLETE
18,0.9975031210986267,2025-08-07 12:55:23.042634,2025-08-07 12:55:23.360957,0 days 00:00:00.318323,5,100,COMPLETE
19,0.9987515605493135,2025-08-07 12:55:23.376929,2025-08-07 12:55:23.535586,0 days 00:00:00.158657,3,50,COMPLETE
