number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-07-31 18:16:18.109564,2025-07-31 18:16:18.152145,0 days 00:00:00.042581,1.0,COMPLETE
1,0.9987515605493135,2025-07-31 18:16:18.153359,2025-07-31 18:16:18.185255,0 days 00:00:00.031896,1.0,COMPLETE
2,0.9987515605493135,2025-07-31 18:16:18.185255,2025-07-31 18:16:18.218731,0 days 00:00:00.033476,1.0,COMPLETE
3,0.9987515605493135,2025-07-31 18:16:18.219893,2025-07-31 18:16:18.252411,0 days 00:00:00.032518,0.1,COMPLETE
4,0.9987515605493135,2025-07-31 18:16:18.252918,2025-07-31 18:16:18.286821,0 days 00:00:00.033903,10.0,COMPLETE
5,0.9987515605493135,2025-07-31 18:16:18.286821,2025-07-31 18:16:18.319925,0 days 00:00:00.033104,1.0,COMPLETE
6,0.9987515605493135,2025-07-31 18:16:18.321934,2025-07-31 18:16:18.352203,0 days 00:00:00.030269,1.0,COMPLETE
7,0.9987515605493135,2025-07-31 18:16:18.352203,2025-07-31 18:16:18.391241,0 days 00:00:00.039038,0.1,COMPLETE
8,0.9987515605493135,2025-07-31 18:16:18.392248,2025-07-31 18:16:18.423509,0 days 00:00:00.031261,10.0,COMPLETE
9,0.9987515605493135,2025-07-31 18:16:18.424523,2025-07-31 18:16:18.453347,0 days 00:00:00.028824,0.1,COMPLETE
10,0.9987515605493135,2025-07-31 18:16:18.454346,2025-07-31 18:16:18.491376,0 days 00:00:00.037030,1.0,COMPLETE
11,0.9987515605493135,2025-07-31 18:16:18.491882,2025-07-31 18:16:18.523709,0 days 00:00:00.031827,1.0,COMPLETE
12,0.9987515605493135,2025-07-31 18:16:18.524668,2025-07-31 18:16:18.568465,0 days 00:00:00.043797,1.0,COMPLETE
13,0.9987515605493135,2025-07-31 18:16:18.568465,2025-07-31 18:16:18.606447,0 days 00:00:00.037982,1.0,COMPLETE
14,0.9987515605493135,2025-07-31 18:16:18.607787,2025-07-31 18:16:18.646457,0 days 00:00:00.038670,1.0,COMPLETE
15,0.9987515605493135,2025-07-31 18:16:18.647887,2025-07-31 18:16:18.692020,0 days 00:00:00.044133,10.0,COMPLETE
16,0.9987515605493135,2025-07-31 18:16:18.693023,2025-07-31 18:16:18.731952,0 days 00:00:00.038929,1.0,COMPLETE
17,0.9987515605493135,2025-07-31 18:16:18.733211,2025-07-31 18:16:18.776324,0 days 00:00:00.043113,1.0,COMPLETE
18,0.9987515605493135,2025-07-31 18:16:18.777332,2025-07-31 18:16:18.819450,0 days 00:00:00.042118,0.1,COMPLETE
19,0.9987515605493135,2025-07-31 18:16:18.820452,2025-07-31 18:16:18.854636,0 days 00:00:00.034184,10.0,COMPLETE
