number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9975031210986267,2025-07-31 18:17:52.580273,2025-07-31 18:17:52.619314,0 days 00:00:00.039041,1.0,COMPLETE
1,0.9987515605493135,2025-07-31 18:17:52.619314,2025-07-31 18:17:52.657884,0 days 00:00:00.038570,10.0,COMPLETE
2,0.9987515605493135,2025-07-31 18:17:52.657884,2025-07-31 18:17:52.709052,0 days 00:00:00.051168,10.0,COMPLETE
3,0.9975031210986267,2025-07-31 18:17:52.711051,2025-07-31 18:17:52.757598,0 days 00:00:00.046547,1.0,COMPLETE
4,0.9975031210986267,2025-07-31 18:17:52.757598,2025-07-31 18:17:52.795861,0 days 00:00:00.038263,1.0,COMPLETE
5,0.9975031210986267,2025-07-31 18:17:52.795861,2025-07-31 18:17:52.842663,0 days 00:00:00.046802,0.1,COMPLETE
6,0.9975031210986267,2025-07-31 18:17:52.843934,2025-07-31 18:17:52.879493,0 days 00:00:00.035559,0.1,COMPLETE
7,0.9975031210986267,2025-07-31 18:17:52.880491,2025-07-31 18:17:52.917611,0 days 00:00:00.037120,0.1,COMPLETE
8,0.9975031210986267,2025-07-31 18:17:52.919618,2025-07-31 18:17:52.960435,0 days 00:00:00.040817,1.0,COMPLETE
9,0.9975031210986267,2025-07-31 18:17:52.960435,2025-07-31 18:17:52.997352,0 days 00:00:00.036917,1.0,COMPLETE
10,0.9987515605493135,2025-07-31 18:17:52.998350,2025-07-31 18:17:53.038810,0 days 00:00:00.040460,10.0,COMPLETE
11,0.9987515605493135,2025-07-31 18:17:53.038810,2025-07-31 18:17:53.082236,0 days 00:00:00.043426,10.0,COMPLETE
12,0.9987515605493135,2025-07-31 18:17:53.082236,2025-07-31 18:17:53.113907,0 days 00:00:00.031671,10.0,COMPLETE
13,0.9987515605493135,2025-07-31 18:17:53.114905,2025-07-31 18:17:53.155878,0 days 00:00:00.040973,10.0,COMPLETE
14,0.9987515605493135,2025-07-31 18:17:53.156382,2025-07-31 18:17:53.188942,0 days 00:00:00.032560,10.0,COMPLETE
15,0.9987515605493135,2025-07-31 18:17:53.188942,2025-07-31 18:17:53.222717,0 days 00:00:00.033775,10.0,COMPLETE
16,0.9987515605493135,2025-07-31 18:17:53.224719,2025-07-31 18:17:53.264315,0 days 00:00:00.039596,10.0,COMPLETE
17,0.9987515605493135,2025-07-31 18:17:53.264315,2025-07-31 18:17:53.298163,0 days 00:00:00.033848,10.0,COMPLETE
18,0.9987515605493135,2025-07-31 18:17:53.298163,2025-07-31 18:17:53.330225,0 days 00:00:00.032062,10.0,COMPLETE
19,0.9987515605493135,2025-07-31 18:17:53.330225,2025-07-31 18:17:53.370028,0 days 00:00:00.039803,10.0,COMPLETE
