number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.9987515605493135,2025-08-05 13:08:31.587594,2025-08-05 13:08:31.619458,0 days 00:00:00.031864,1.0,COMPLETE
1,0.9987515605493135,2025-08-05 13:08:31.619458,2025-08-05 13:08:31.635162,0 days 00:00:00.015704,1.0,COMPLETE
2,0.9987515605493135,2025-08-05 13:08:31.642312,2025-08-05 13:08:31.653619,0 days 00:00:00.011307,1.0,COMPLETE
3,0.9987515605493135,2025-08-05 13:08:31.653619,2025-08-05 13:08:31.669858,0 days 00:00:00.016239,1.0,COMPLETE
4,0.9987515605493135,2025-08-05 13:08:31.674538,2025-08-05 13:08:31.683097,0 days 00:00:00.008559,1.0,COMPLETE
5,0.9987515605493135,2025-08-05 13:08:31.683097,2025-08-05 13:08:31.698752,0 days 00:00:00.015655,1.0,COMPLETE
6,0.9987515605493135,2025-08-05 13:08:31.698752,2025-08-05 13:08:31.714710,0 days 00:00:00.015958,0.1,COMPLETE
7,0.9987515605493135,2025-08-05 13:08:31.714710,2025-08-05 13:08:31.746146,0 days 00:00:00.031436,0.1,COMPLETE
8,0.9987515605493135,2025-08-05 13:08:31.746146,2025-08-05 13:08:31.769876,0 days 00:00:00.023730,1.0,COMPLETE
9,0.9987515605493135,2025-08-05 13:08:31.769876,2025-08-05 13:08:31.793782,0 days 00:00:00.023906,0.1,COMPLETE
10,0.9987515605493135,2025-08-05 13:08:31.793782,2025-08-05 13:08:31.809997,0 days 00:00:00.016215,10.0,COMPLETE
11,0.9987515605493135,2025-08-05 13:08:31.809997,2025-08-05 13:08:31.826126,0 days 00:00:00.016129,10.0,COMPLETE
12,0.9987515605493135,2025-08-05 13:08:31.826126,2025-08-05 13:08:31.842152,0 days 00:00:00.016026,1.0,COMPLETE
13,0.9987515605493135,2025-08-05 13:08:31.842152,2025-08-05 13:08:31.857884,0 days 00:00:00.015732,1.0,COMPLETE
14,0.9987515605493135,2025-08-05 13:08:31.857884,2025-08-05 13:08:31.873807,0 days 00:00:00.015923,1.0,COMPLETE
15,0.9987515605493135,2025-08-05 13:08:31.873807,2025-08-05 13:08:31.889645,0 days 00:00:00.015838,10.0,COMPLETE
16,0.9987515605493135,2025-08-05 13:08:31.889645,2025-08-05 13:08:31.905750,0 days 00:00:00.016105,1.0,COMPLETE
17,0.9987515605493135,2025-08-05 13:08:31.905750,2025-08-05 13:08:31.921836,0 days 00:00:00.016086,1.0,COMPLETE
18,0.9987515605493135,2025-08-05 13:08:31.921836,2025-08-05 13:08:31.955626,0 days 00:00:00.033790,10.0,COMPLETE
19,0.9987515605493135,2025-08-05 13:08:31.955626,2025-08-05 13:08:31.969428,0 days 00:00:00.013802,0.1,COMPLETE
