number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9975031210986267,2025-08-05 13:08:13.883417,2025-08-05 13:08:14.203091,0 days 00:00:00.319674,5,100,COMPLETE
1,0.9987515605493135,2025-08-05 13:08:14.203091,2025-08-05 13:08:14.391272,0 days 00:00:00.188181,3,50,COMPLETE
2,0.9975031210986267,2025-08-05 13:08:14.397014,2025-08-05 13:08:14.564238,0 days 00:00:00.167224,3,50,COMPLETE
3,0.9975031210986267,2025-08-05 13:08:14.564238,2025-08-05 13:08:14.722636,0 days 00:00:00.158398,5,50,COMPLETE
4,0.9975031210986267,2025-08-05 13:08:14.722636,2025-08-05 13:08:15.022306,0 days 00:00:00.299670,5,100,COMPLETE
5,0.9987515605493135,2025-08-05 13:08:15.022306,2025-08-05 13:08:15.353873,0 days 00:00:00.331567,3,100,COMPLETE
6,0.9987515605493135,2025-08-05 13:08:15.353873,2025-08-05 13:08:15.669544,0 days 00:00:00.315671,5,100,COMPLETE
7,0.9975031210986267,2025-08-05 13:08:15.669544,2025-08-05 13:08:15.980914,0 days 00:00:00.311370,3,100,COMPLETE
8,0.9975031210986267,2025-08-05 13:08:15.981660,2025-08-05 13:08:16.288400,0 days 00:00:00.306740,3,100,COMPLETE
9,0.9987515605493135,2025-08-05 13:08:16.288400,2025-08-05 13:08:16.607138,0 days 00:00:00.318738,3,100,COMPLETE
10,0.9975031210986267,2025-08-05 13:08:16.608535,2025-08-05 13:08:16.781679,0 days 00:00:00.173144,3,50,COMPLETE
11,0.9987515605493135,2025-08-05 13:08:16.781679,2025-08-05 13:08:16.950647,0 days 00:00:00.168968,3,50,COMPLETE
12,0.9975031210986267,2025-08-05 13:08:16.950647,2025-08-05 13:08:17.098833,0 days 00:00:00.148186,3,50,COMPLETE
13,0.9987515605493135,2025-08-05 13:08:17.098833,2025-08-05 13:08:17.275277,0 days 00:00:00.176444,3,50,COMPLETE
14,0.9975031210986267,2025-08-05 13:08:17.275277,2025-08-05 13:08:17.591595,0 days 00:00:00.316318,3,100,COMPLETE
15,0.9975031210986267,2025-08-05 13:08:17.591595,2025-08-05 13:08:17.750802,0 days 00:00:00.159207,3,50,COMPLETE
16,0.9975031210986267,2025-08-05 13:08:17.750802,2025-08-05 13:08:17.910443,0 days 00:00:00.159641,3,50,COMPLETE
17,0.9987515605493135,2025-08-05 13:08:17.910443,2025-08-05 13:08:18.212938,0 days 00:00:00.302495,3,100,COMPLETE
18,0.9987515605493135,2025-08-05 13:08:18.212938,2025-08-05 13:08:18.531222,0 days 00:00:00.318284,5,100,COMPLETE
19,0.9987515605493135,2025-08-05 13:08:18.531222,2025-08-05 13:08:18.705355,0 days 00:00:00.174133,3,50,COMPLETE
