number,value,datetime_start,datetime_complete,duration,params_max_depth,params_n_estimators,state
0,0.9987515605493135,2025-08-05 13:08:37.696337,2025-08-05 13:08:37.870572,0 days 00:00:00.174235,5,50,COMPLETE
1,0.9975031210986267,2025-08-05 13:08:37.870572,2025-08-05 13:08:38.156422,0 days 00:00:00.285850,3,100,COMPLETE
2,0.9975031210986267,2025-08-05 13:08:38.156422,2025-08-05 13:08:38.334873,0 days 00:00:00.178451,3,50,COMPLETE
3,0.9975031210986267,2025-08-05 13:08:38.334873,2025-08-05 13:08:38.527719,0 days 00:00:00.192846,5,50,COMPLETE
4,0.9987515605493135,2025-08-05 13:08:38.529723,2025-08-05 13:08:38.837729,0 days 00:00:00.308006,3,100,COMPLETE
5,0.9987515605493135,2025-08-05 13:08:38.837729,2025-08-05 13:08:39.156241,0 days 00:00:00.318512,5,100,COMPLETE
6,0.9987515605493135,2025-08-05 13:08:39.156241,2025-08-05 13:08:39.458032,0 days 00:00:00.301791,5,100,COMPLETE
7,0.9987515605493135,2025-08-05 13:08:39.458032,2025-08-05 13:08:39.761206,0 days 00:00:00.303174,5,100,COMPLETE
8,0.9987515605493135,2025-08-05 13:08:39.761206,2025-08-05 13:08:40.064349,0 days 00:00:00.303143,3,100,COMPLETE
9,0.9987515605493135,2025-08-05 13:08:40.064349,2025-08-05 13:08:40.223883,0 days 00:00:00.159534,3,50,COMPLETE
10,0.9987515605493135,2025-08-05 13:08:40.223883,2025-08-05 13:08:40.383424,0 days 00:00:00.159541,5,50,COMPLETE
11,0.9975031210986267,2025-08-05 13:08:40.383424,2025-08-05 13:08:40.542080,0 days 00:00:00.158656,3,50,COMPLETE
12,0.9987515605493135,2025-08-05 13:08:40.542080,2025-08-05 13:08:40.716852,0 days 00:00:00.174772,5,50,COMPLETE
13,0.9975031210986267,2025-08-05 13:08:40.716852,2025-08-05 13:08:41.034170,0 days 00:00:00.317318,3,100,COMPLETE
14,0.9975031210986267,2025-08-05 13:08:41.034170,2025-08-05 13:08:41.354619,0 days 00:00:00.320449,5,100,COMPLETE
15,0.9987515605493135,2025-08-05 13:08:41.354619,2025-08-05 13:08:41.495187,0 days 00:00:00.140568,3,50,COMPLETE
16,0.9987515605493135,2025-08-05 13:08:41.495187,2025-08-05 13:08:41.678072,0 days 00:00:00.182885,5,50,COMPLETE
17,0.9987515605493135,2025-08-05 13:08:41.678072,2025-08-05 13:08:41.972377,0 days 00:00:00.294305,3,100,COMPLETE
18,0.9987515605493135,2025-08-05 13:08:41.972377,2025-08-05 13:08:42.334545,0 days 00:00:00.362168,5,100,COMPLETE
19,0.9987515605493135,2025-08-05 13:08:42.334545,2025-08-05 13:08:42.493029,0 days 00:00:00.158484,3,50,COMPLETE
