number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9987515605493135,2025-07-31 18:16:50.212008,2025-07-31 18:16:50.233102,0 days 00:00:00.021094,1.0,linear,COMPLETE
1,0.9975031210986267,2025-07-31 18:16:50.233102,2025-07-31 18:16:50.270992,0 days 00:00:00.037890,0.1,rbf,COMPLETE
2,0.9975031210986267,2025-07-31 18:16:50.273023,2025-07-31 18:16:50.308782,0 days 00:00:00.035759,1.0,rbf,COMPLETE
3,0.9975031210986267,2025-07-31 18:16:50.308782,2025-07-31 18:16:50.346649,0 days 00:00:00.037867,1.0,rbf,COMPLETE
4,0.9975031210986267,2025-07-31 18:16:50.346649,2025-07-31 18:16:50.382257,0 days 00:00:00.035608,1.0,rbf,COMPLETE
5,0.9975031210986267,2025-07-31 18:16:50.382257,2025-07-31 18:16:50.415194,0 days 00:00:00.032937,0.1,rbf,COMPLETE
6,0.9975031210986267,2025-07-31 18:16:50.416194,2025-07-31 18:16:50.450490,0 days 00:00:00.034296,1.0,rbf,COMPLETE
7,0.9987515605493135,2025-07-31 18:16:50.452015,2025-07-31 18:16:50.479300,0 days 00:00:00.027285,1.0,linear,COMPLETE
8,0.9975031210986267,2025-07-31 18:16:50.480299,2025-07-31 18:16:50.515984,0 days 00:00:00.035685,0.1,rbf,COMPLETE
9,0.9975031210986267,2025-07-31 18:16:50.515984,2025-07-31 18:16:50.548376,0 days 00:00:00.032392,0.1,rbf,COMPLETE
10,0.9987515605493135,2025-07-31 18:16:50.549379,2025-07-31 18:16:50.578996,0 days 00:00:00.029617,1.0,linear,COMPLETE
11,0.9987515605493135,2025-07-31 18:16:50.579998,2025-07-31 18:16:50.603207,0 days 00:00:00.023209,1.0,linear,COMPLETE
12,0.9987515605493135,2025-07-31 18:16:50.604210,2025-07-31 18:16:50.633806,0 days 00:00:00.029596,1.0,linear,COMPLETE
13,0.9987515605493135,2025-07-31 18:16:50.633806,2025-07-31 18:16:50.658297,0 days 00:00:00.024491,1.0,linear,COMPLETE
14,0.9987515605493135,2025-07-31 18:16:50.659823,2025-07-31 18:16:50.689117,0 days 00:00:00.029294,1.0,linear,COMPLETE
15,0.9987515605493135,2025-07-31 18:16:50.689117,2025-07-31 18:16:50.714559,0 days 00:00:00.025442,1.0,linear,COMPLETE
16,0.9987515605493135,2025-07-31 18:16:50.714559,2025-07-31 18:16:50.746709,0 days 00:00:00.032150,1.0,linear,COMPLETE
17,0.9987515605493135,2025-07-31 18:16:50.747852,2025-07-31 18:16:50.776517,0 days 00:00:00.028665,1.0,linear,COMPLETE
18,0.9987515605493135,2025-07-31 18:16:50.777530,2025-07-31 18:16:50.802489,0 days 00:00:00.024959,0.1,linear,COMPLETE
19,0.9987515605493135,2025-07-31 18:16:50.802489,2025-07-31 18:16:50.866505,0 days 00:00:00.064016,1.0,linear,COMPLETE
