number,value,datetime_start,datetime_complete,duration,params_C,params_kernel,state
0,0.9975031210986267,2025-07-31 18:17:18.708301,2025-07-31 18:17:18.743772,0 days 00:00:00.035471,0.1,rbf,COMPLETE
1,0.9987515605493135,2025-07-31 18:17:18.743772,2025-07-31 18:17:18.769932,0 days 00:00:00.026160,1.0,linear,COMPLETE
2,0.9975031210986267,2025-07-31 18:17:18.769932,2025-07-31 18:17:18.800291,0 days 00:00:00.030359,0.1,rbf,COMPLETE
3,0.9987515605493135,2025-07-31 18:17:18.800291,2025-07-31 18:17:18.827448,0 days 00:00:00.027157,0.1,linear,COMPLETE
4,0.9987515605493135,2025-07-31 18:17:18.828460,2025-07-31 18:17:18.843350,0 days 00:00:00.014890,1.0,linear,COMPLETE
5,0.9987515605493135,2025-07-31 18:17:18.843350,2025-07-31 18:17:18.869532,0 days 00:00:00.026182,1.0,linear,COMPLETE
6,0.9987515605493135,2025-07-31 18:17:18.871040,2025-07-31 18:17:18.894757,0 days 00:00:00.023717,1.0,linear,COMPLETE
7,0.9975031210986267,2025-07-31 18:17:18.894757,2025-07-31 18:17:18.938311,0 days 00:00:00.043554,0.1,rbf,COMPLETE
8,0.9975031210986267,2025-07-31 18:17:18.938311,2025-07-31 18:17:18.996382,0 days 00:00:00.058071,0.1,rbf,COMPLETE
9,0.9975031210986267,2025-07-31 18:17:19.001279,2025-07-31 18:17:19.072125,0 days 00:00:00.070846,1.0,rbf,COMPLETE
10,0.9987515605493135,2025-07-31 18:17:19.073126,2025-07-31 18:17:19.161840,0 days 00:00:00.088714,1.0,linear,COMPLETE
11,0.9987515605493135,2025-07-31 18:17:19.175237,2025-07-31 18:17:19.239721,0 days 00:00:00.064484,0.1,linear,COMPLETE
12,0.9987515605493135,2025-07-31 18:17:19.239721,2025-07-31 18:17:19.303196,0 days 00:00:00.063475,0.1,linear,COMPLETE
13,0.9987515605493135,2025-07-31 18:17:19.304217,2025-07-31 18:17:19.337545,0 days 00:00:00.033328,1.0,linear,COMPLETE
14,0.9987515605493135,2025-07-31 18:17:19.337545,2025-07-31 18:17:19.366117,0 days 00:00:00.028572,1.0,linear,COMPLETE
15,0.9987515605493135,2025-07-31 18:17:19.367196,2025-07-31 18:17:19.394718,0 days 00:00:00.027522,0.1,linear,COMPLETE
16,0.9987515605493135,2025-07-31 18:17:19.394718,2025-07-31 18:17:19.426473,0 days 00:00:00.031755,0.1,linear,COMPLETE
17,0.9987515605493135,2025-07-31 18:17:19.427484,2025-07-31 18:17:19.466430,0 days 00:00:00.038946,1.0,linear,COMPLETE
18,0.9987515605493135,2025-07-31 18:17:19.468446,2025-07-31 18:17:19.504466,0 days 00:00:00.036020,1.0,linear,COMPLETE
19,0.9987515605493135,2025-07-31 18:17:19.504466,2025-07-31 18:17:19.539321,0 days 00:00:00.034855,0.1,linear,COMPLETE
